"Гипотеза: нужно ли добавить кнопку ""закрыть все вкладки?""";;;;;;;;;;;;;;;;;;;;;;;;
Ответ на гипотезу: нужно;;;;;;;;;;;;;;;;;;;;;;;;
класс - пользователь;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Верхние и нижние границы (ВГ и НГ);;;;;;;Количество МН и длина ПД;;;;;;;;;;
Таблица с возможными значениями;;;;;;;класс;признак;Период;НЗ;ВГ;;;класс;признак;Период;длина ПД;кол-во МН;;;;;;
признаки;;типы;возможные значения;;;;пользователь 1;;1;20;1000;;;пользователь 1;открыто вкладок за день;1;980;1;;;;;;
открыто вкладок за день;;количественный признак;"[0; 1000]";;;;открыто вкладок за день;;1;20;1000;;;;закрыто  вкладок за день;1;980;2;;;;;;
закрыто  вкладок за день;;количественный признак;"[0; 1000]";;;;закрыто  вкладок за день;;1;100;600;;;;время среднего сеанса работы с приложением в минутах ;1;500;1;;;;;;
время среднего сеанса работы с приложением в минутах ;;количественный признак;"[0; 600]";;;;время среднего сеанса работы с приложением в минутах ;;1;60;1000;;;;максимальное количество активных вкладок в приложении;1;940;1;;;;;;
максимальное количество активных вкладок в приложении;;количественный признак;"[0; 1000]";;;;максимальное количество активных вкладок в приложении;;1;20;1000;;;;"Частота использования функции ""перезагрузить вкладку"" за день";1;980;1;;;;;;
"Частота использования функции ""закрыть вкладку"" за день ";;количественный признак;"[0; 1000]";;;;"Частота использования функции ""перезагрузить вкладку"" за день";;1;10;1000;;;;;;;;;;;;;
закрывал ли пользователь вкладки в течение сеанса;;бинарный;[да, нет];;;;;;;;;;;;;;;;;;;;;
перезапускал ли пользователь приложение;;бинарный;[да, нет];;;;открыто вкладок за день;;2;30;1000;;;;открыто вкладок за день;2;970;1;;;;;;
;;;;;;;закрыто  вкладок за день;;2;30;1000;;;;закрыто  вкладок за день;2;970;2;;;;;;
Таблица с нормальными значениями;;;;;;;время среднего сеанса работы с приложением в минутах ;;2;110;600;;;;время среднего сеанса работы с приложением в минутах ;2;490;1;;;;;;
признаки;;нормальные значения;;;;;максимальное количество активных вкладок в приложении;;2;70;1000;;;;максимальное количество активных вкладок в приложении;2;930;4;;;;;;
